date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-04-10,-70.144,,9.066,,-12.457,-38.416,-48.819,-75.676,-20.27,-23.596,,-17.778,-50.0,-58.464,-5.045,11.111,-71.493,-37.959,5.071,-52.031,-17.977,-15.278,,-23.405,-2.472,-63.849,24.853,22.122,-73.585,31.538,-25.693
2012-04-11,37.892,,-4.961,,33.626,30.613,-22.925,-75.294,45.279,-3.955,-52.041,-52.866,-49.515,-58.464,-68.202,34.328,-14.865,-6.172,44.29,12.244,58.752,39.549,26.038,20.334,41.201,-62.981,-55.468,-74.117,,51.649,42.332
2012-04-12,44.72,-36.508,-1.044,,32.307,64.898,-48.412,-72.368,-21.334,34.375,-52.041,-64.251,,-68.803,-36.11,11.774,-42.857,28.362,35.57,-83.333,-19.188,-79.181,-18.593,-23.728,-51.064,44.936,-32.941,3.03,-72.898,-10.858,26.583
2012-04-13,44.259,-36.508,39.456,,40.0,38.571,-22.925,,-47.136,25.0,-52.041,-16.586,1.96,-37.784,23.188,-74.669,,-37.577,33.587,-66.578,-73.063,-58.362,-45.455,,-26.597,-25.962,-55.468,2.273,,,35.553
2012-04-14,-2.662,-36.508,-64.329,,31.209,-79.351,-22.925,,-73.568,-4.762,-52.041,-52.412,-46.314,-68.848,-35.212,-61.122,-71.101,-37.705,23.227,-49.734,-72.963,,,-74.236,-26.335,-25.962,-55.294,1.515,,-39.884,-5.128
2012-04-15,-94.678,,-96.031,,,-79.118,,,,,,-76.206,,,,,,-84.394,-83.158,,,,,,,,,,,,-96.167
2012-04-16,-15.339,-36.125,-84.146,,,-57.895,,-43.891,5.328,-61.56,,-75.962,6.73,-79.007,-34.883,-74.131,-42.202,-68.507,-82.196,,25.676,-58.362,,,,-62.981,,,,,-96.646
2012-04-17,30.736,,47.589,-59.321,-37.342,-14.541,-22.925,28.064,5.243,-61.667,-50.0,-28.344,67.628,-36.709,-34.561,-48.162,-12.902,-5.521,31.122,52.747,,-57.966,-72.681,-22.414,31.402,-26.316,9.122,20.0,6.035,-69.54,32.541
2012-04-18,16.848,-67.709,58.401,-20.0,39.963,-56.363,2.308,9.678,-20.172,13.043,-50.0,7.408,2.885,-25.847,-66.977,-22.988,-12.902,-21.107,45.12,23.81,-73.26,-57.966,,-23.077,30.677,31.493,-11.97,-25.0,,73.149,46.825
2012-04-19,2.259,,40.859,,20.202,57.324,33.847,38.442,77.688,13.285,48.405,-63.415,50.0,-67.994,-0.931,-61.047,-70.643,-68.313,38.189,-66.755,65.255,,41.025,-72.222,-52.083,8.657,-77.992,-24.714,,11.32,43.262
2012-04-20,27.673,-36.125,60.123,66.0,18.94,60.417,-24.124,-14.286,-75.1,-2.265,-4.081,9.186,,-13.793,-65.196,2.425,42.708,-20.782,37.005,-33.684,51.028,70.395,-71.584,,-28.125,-27.357,-12.643,-23.551,,68.868,39.863
2012-04-21,21.283,-68.062,14.782,,-16.456,-36.47,-49.416,-43.119,,14.493,-51.515,-38.424,-49.505,-56.395,-30.391,-87.023,,,15.385,-50.263,-48.951,15.847,,-9.693,-51.916,53.03,,33.838,,-19.403,-10.761
2012-04-22,,,-96.215,,,,,,,,,,,,-30.097,,,-84.025,-86.376,,,,,,,,,,,,-96.223
2012-04-23,-17.521,-35.751,-69.805,,,-57.31,,-42.728,-1.587,-60.674,,-75.123,0.96,-78.229,-29.807,-73.764,-41.818,-67.768,-86.382,,21.352,-60.0,,,,-64.516,,,,,-97.168
2012-04-24,37.982,,35.004,,-37.539,-57.31,0.77,11.508,-50.2,53.117,-3.03,-0.491,33.333,-56.268,7.307,-73.256,-41.442,-3.504,38.419,38.889,33.333,27.65,-15.218,-7.33,16.232,43.076,-56.757,20.0,-73.148,-45.729,26.885
